date,close,open,high,low
2022-01-02,2954.89,2998.32,3010.77,2915.38
2022-01-09,2921.92,2947.37,2982.14,2909.82
2022-01-16,2834.29,2918.55,2919.67,2817.11
2022-01-23,2663.34,2823.76,2828.11,2591.53
2022-01-30,2750.26,2706.34,2751.8,2702.78
2022-02-06,2747.71,2750.7,2788.27,2718.94
2022-02-13,2744.52,2715.1,2770.66,2665.47
2022-02-20,2676.76,2706.65,2746.62,2642.63
2022-02-27,2713.43,2663,2748.21,2658.25
2022-03-06,2661.28,2680.17,2682.79,2605.81
2022-03-13,2707.02,2654.93,2714,2615.08
2022-03-20,2729.98,2717.81,2742.27,2683.69
2022-03-27,2739.85,2721.22,2765.2,2707.74
2022-04-03,2700.39,2729.86,2769.18,2685.52
2022-04-10,2696.06,2687.54,2720.3,2658.4
2022-04-17,2704.71,2685.04,2737.54,2681.37
2022-04-24,2695.05,2676.67,2696.1,2615.5
2022-05-01,2644.51,2669.21,2702.1,2635.97
2022-05-08,2604.24,2634.32,2642.75,2546.8
2022-05-15,2639.29,2624.69,2644.13,2568.54
2022-05-22,2638.05,2651.63,2653.87,2602.01
2022-05-29,2670.65,2662.31,2685.9,2653.59
2022-06-05,2595.87,2659.27,2662.04,2583.74
2022-06-12,2440.93,2550.21,2550.32,2396.47
2022-06-19,2366.6,2449.89,2449.89,2306.48
2022-06-26,2305.42,2383.2,2422.1,2291.49
2022-07-03,2350.61,2310.73,2367.84,2276.63
2022-07-10,2330.98,2357.43,2363.26,2293.45
2022-07-17,2393.14,2350.48,2417.91,2344.12
2022-07-24,2451.5,2385.65,2463.05,2385.65
2022-07-31,2490.8,2444.05,2497.58,2428.76
2022-08-07,2527.94,2481.17,2533.2,2477.76
2022-08-14,2492.69,2543.05,2546.35,2488.09
2022-08-21,2481.03,2467.38,2497.76,2430.69
2022-08-28,2409.41,2432.06,2473.75,2402.67
2022-09-04,2384.28,2410.07,2424.77,2365.35
2022-09-11,2382.78,2418.59,2453.95,2371.11
2022-09-18,2290,2388.73,2389.85,2285.71
2022-09-25,2155.49,2260.8,2260.8,2134.77
2022-10-02,2232.84,2189.51,2253.93,2180.84
2022-10-09,2212.55,2193.02,2220.54,2162.87
2022-10-16,2213.12,2187.17,2266.8,2177.66
2022-10-23,2268.4,2248.26,2292.65,2229.85
2022-10-30,2348.43,2293.75,2348.43,2273.73
2022-11-06,2483.16,2360.22,2486.46,2354.22
2022-11-13,2444.48,2485.18,2499.43,2442.87
2022-11-20,2437.86,2446.05,2449.66,2401.5
2022-11-27,2434.33,2425.05,2501.43,2401.1
2022-12-04,2389.04,2442.17,2442.22,2357.2
2022-12-11,2360.02,2373.58,2400.18,2326.83
2022-12-18,2313.69,2350.78,2358.76,2311.9
2022-12-25,2236.4,2312.54,2335.99,2236.38
